Date,AAPL,MSFT,NVDA,BABA
2019-04-22,51.13249969482422,185.3800048828125,123.76000213623047,47.11750030517578
2019-04-23,51.869998931884766,187.2899932861328,125.44000244140625,47.66749954223633
2019-04-24,51.790000915527344,185.6699981689453,125.01000213623047,47.79249954223633
2019-04-25,51.31999969482422,187.8800048828125,129.14999389648438,46.727500915527344
2019-04-26,51.07500076293945,187.08999633789062,129.88999938964844,44.522499084472656
2019-04-29,51.15250015258789,186.94000244140625,129.77000427246094,44.83250045776367
2019-04-30,50.16749954223633,185.57000732421875,130.60000610351562,45.25
2019-05-01,52.630001068115234,189.30999755859375,127.87999725341797,45.11750030517578
2019-05-02,52.287498474121094,190.38999938964844,126.20999908447266,45.79750061035156
2019-05-03,52.9375,195.2100067138672,128.89999389648438,45.752498626708984
2019-05-06,52.119998931884766,188.24000549316406,128.14999389648438,44.962501525878906
2019-05-07,50.71500015258789,181.42999267578125,125.5199966430664,43.27750015258789
2019-05-08,50.724998474121094,179.58999633789062,125.51000213623047,43.47999954223633
2019-05-09,50.18000030517578,179.0399932861328,125.5,42.54750061035156
2019-05-10,49.29499816894531,178.0,127.12999725341797,42.20500183105469
2019-05-13,46.43000030517578,170.00999450683594,123.3499984741211,39.61249923706055
2019-05-14,47.165000915527344,174.83999633789062,124.7300033569336,40.5099983215332
2019-05-15,47.72999954223633,177.60000610351562,126.0199966430664,39.89500045776367
2019-05-16,47.52000045776367,175.57000732421875,128.92999267578125,40.04750061035156
2019-05-17,47.25,169.57000732421875,128.07000732421875,39.13249969482422
2019-05-20,45.772499084472656,160.64999389648438,126.22000122070312,37.9375
2019-05-21,46.650001525878906,163.42999267578125,126.9000015258789,38.76499938964844
2019-05-22,45.69499969482422,158.8300018310547,127.66999816894531,38.04999923706055
2019-05-23,44.915000915527344,156.0,126.18000030517578,36.83000183105469
2019-05-24,44.74250030517578,155.0,126.23999786376953,36.287498474121094
2019-05-28,44.557498931884766,154.80999755859375,126.16000366210938,35.83250045776367
2019-05-29,44.345001220703125,152.47999572753906,124.94000244140625,35.084999084472656
2019-05-30,44.57500076293945,151.07000732421875,125.7300033569336,34.77750015258789
2019-05-31,43.76750183105469,149.25999450683594,123.68000030517578,33.8650016784668
2019-06-03,43.32500076293945,149.91000366210938,119.83999633789062,33.44499969482422
2019-06-04,44.90999984741211,154.14999389648438,123.16000366210938,35.75
2019-06-05,45.6349983215332,151.64999389648438,125.83000183105469,35.31999969482422
2019-06-06,46.30500030517578,151.5,127.81999969482422,35.94499969482422
2019-06-07,47.537498474121094,154.22999572753906,131.39999389648438,36.375
2019-06-10,48.14500045776367,159.85000610351562,132.60000610351562,37.10749816894531
2019-06-11,48.70249938964844,162.64999389648438,132.10000610351562,37.6875
2019-06-12,48.54750061035156,160.0399932861328,131.49000549316406,36.54999923706055
2019-06-13,48.537498474121094,160.3300018310547,132.32000732421875,37.064998626708984
2019-06-14,48.185001373291016,158.10000610351562,132.4499969482422,36.15999984741211
2019-06-17,48.47249984741211,159.91000366210938,132.85000610351562,36.25749969482422
2019-06-18,49.61249923706055,165.50999450683594,135.16000366210938,38.220001220703125
2019-06-19,49.467498779296875,165.4600067138672,135.69000244140625,38.279998779296875
2019-06-20,49.8650016784668,168.25,136.9499969482422,38.525001525878906
2019-06-21,49.69499969482422,167.5500030517578,136.97000122070312,37.939998626708984
2019-06-24,49.64500045776367,168.10000610351562,137.77999877929688,38.165000915527344
2019-06-25,48.89250183105469,165.8000030517578,133.42999267578125,37.869998931884766
2019-06-26,49.95000076293945,168.99000549316406,133.92999267578125,39.814998626708984
2019-06-27,49.935001373291016,170.89999389648438,134.14999389648438,40.807498931884766
2019-06-28,49.47999954223633,169.4499969482422,133.9600067138672,41.057498931884766
2019-07-01,50.38750076293945,175.0500030517578,135.67999267578125,41.54249954223633
2019-07-02,50.682498931884766,175.4499969482422,136.5800018310547,40.557498931884766
2019-07-03,51.102500915527344,174.6699981689453,137.4600067138672,40.6875
2019-07-05,51.057498931884766,173.3000030517578,137.05999755859375,40.057498931884766
2019-07-08,50.005001068115234,168.4499969482422,136.9600067138672,39.3025016784668
2019-07-09,50.310001373291016,168.8000030517578,136.4600067138672,39.32749938964844
2019-07-10,50.807498931884766,166.92999267578125,137.85000610351562,40.01499938964844
2019-07-11,50.4375,166.5500030517578,138.39999389648438,41.56999969482422
2019-07-12,50.82500076293945,169.07000732421875,138.89999389648438,41.90250015258789
2019-07-15,51.3025016784668,173.5,138.89999389648438,41.817501068115234
2019-07-16,51.125,174.19000244140625,137.0800018310547,41.77000045776367
2019-07-17,50.837501525878906,174.82000732421875,136.27000427246094,42.4275016784668
2019-07-18,51.415000915527344,172.8000030517578,136.4199981689453,42.54499816894531
2019-07-19,50.647499084472656,172.99000549316406,136.6199951171875,42.11000061035156
2019-07-22,51.80500030517578,174.0,138.42999267578125,42.83000183105469
2019-07-23,52.209999084472656,178.08999633789062,139.2899932861328,43.915000915527344
2019-07-24,52.16749954223633,178.6699981689453,140.72000122070312,44.665000915527344
2019-07-25,51.755001068115234,177.2899932861328,140.19000244140625,43.345001220703125
2019-07-26,51.935001373291016,178.74000549316406,141.33999633789062,43.76750183105469
2019-07-29,52.41999816894531,177.02000427246094,141.02999877929688,43.70500183105469
2019-07-30,52.19499969482422,174.10000610351562,140.35000610351562,43.86249923706055
2019-07-31,53.2599983215332,173.11000061035156,136.27000427246094,42.18000030517578
2019-08-01,52.10749816894531,165.64999389648438,138.05999755859375,41.22999954223633
2019-08-02,51.005001068115234,161.0,136.89999389648438,40.29750061035156
